system:index,NDVI_mean,district,month,year,.geo
6_0001000000000000169f,0.28121646513226817,Layyah District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a0,0.45956148808953734,Lodhran District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a1,0.373193394743757,Mandi Bahauddin District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a2,0.21027878346426945,Mianwali District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a3,0.39972327368611754,Multan District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a4,0.3333344942334143,Muzaffargarh District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a5,0.2258358302480626,Narowal District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a6,0.4014025855304305,Okara District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a7,0.4019672269991251,Pakpattan District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a8,0.3042698384090542,Rahim Yar Khan District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a9,0.1760438426152816,Rajanpur District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016aa,0.3617526780621129,Rawalpindi District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016ab,0.3528651829046347,Sahiwal District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016ac,0.3654429389653521,Sargodha District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
